id_contra_cheque,chave_coleta,nome,matricula,funcao,local_trabalho,tipo,ativo
tjsc/01/2021/113,tjsc/01/2021,CLAUDIO MARCIO ARECO JUNIOR,,,,MEMBRO,true
tjsc/01/2021/114,tjsc/01/2021,CLAUDIO REGO PANTOJA,,,,MEMBRO,true
tjsc/01/2021/115,tjsc/01/2021,CLAUDIO VALDYR HELFENSTEIN,,,,MEMBRO,true
tjsc/01/2021/116,tjsc/01/2021,CLAYTON CESAR WANDSCHEER,,,,MEMBRO,true
tjsc/01/2021/117,tjsc/01/2021,CLENI SERLY RAUEN VIEIRA,,,,MEMBRO,true
tjsc/01/2021/118,tjsc/01/2021,CLEUSA MARIA CARDOSO,,,,MEMBRO,true
tjsc/01/2021/119,tjsc/01/2021,CLOVIS MARCELINO DOS SANTOS,,,,MEMBRO,true
tjsc/01/2021/120,tjsc/01/2021,CRISTINA LERCH LUNARDI,,,,MEMBRO,true
tjsc/01/2021/121,tjsc/01/2021,CRISTINA PAUL CUNHA BOGO,,,,MEMBRO,true
tjsc/01/2021/122,tjsc/01/2021,CRISTINE SCHUTZ DA SILVA MATTOS,,,,MEMBRO,true
tjsc/01/2021/123,tjsc/01/2021,CRYSTIAN KRAUTCHYCHYN,,,,MEMBRO,true
tjsc/01/2021/124,tjsc/01/2021,CYD CARLOS DA SILVEIRA,,,,MEMBRO,true
tjsc/01/2021/125,tjsc/01/2021,DALMO BASTOS SILVA,,,,MEMBRO,true
tjsc/01/2021/126,tjsc/01/2021,DANIEL LAZZARIN COUTINHO,,,,MEMBRO,true
tjsc/01/2021/127,tjsc/01/2021,DANIEL LEITE SEIFFERT SIMOES,,,,MEMBRO,true
tjsc/01/2021/128,tjsc/01/2021,DANIEL LISBOA MENDONCA,,,,MEMBRO,true
tjsc/01/2021/129,tjsc/01/2021,DANIEL RADUNZ,,,,MEMBRO,true
tjsc/01/2021/130,tjsc/01/2021,DANIEL VICTOR GONCALVES EMENDORFER,,,,MEMBRO,true
tjsc/01/2021/131,tjsc/01/2021,DANIELA FERNANDES DIAS MORELLI,,,,MEMBRO,true
tjsc/01/2021/132,tjsc/01/2021,DANIELA VIEIRA SOARES,,,,MEMBRO,true
tjsc/01/2021/133,tjsc/01/2021,DANILO SILVA BITTAR,,,,MEMBRO,true
tjsc/01/2021/134,tjsc/01/2021,DAVIDSON JAHN MELLO,,,,MEMBRO,true
tjsc/01/2021/135,tjsc/01/2021,DAYSE HERGET DE OLIVEIRA MARINHO,,,,MEMBRO,true
tjsc/01/2021/136,tjsc/01/2021,DEBORA DRIWIN RIEGER ZANINI,,,,MEMBRO,true
tjsc/01/2021/137,tjsc/01/2021,DECIO MENNA BARRETO DE ARAUJO FILHO,,,,MEMBRO,true
tjsc/01/2021/138,tjsc/01/2021,DENISE DE SOUZA LUIZ FRANCOSKI,,,,MEMBRO,true
tjsc/01/2021/139,tjsc/01/2021,DENISE NADIR ENKE,,,,MEMBRO,true
tjsc/01/2021/140,tjsc/01/2021,DENISE VOLPATO,,,,MEMBRO,true
tjsc/01/2021/141,tjsc/01/2021,DESIDERIO AMARO FREIBERGER,,,,MEMBRO,true
tjsc/01/2021/142,tjsc/01/2021,DINART FRANCISCO MACHADO,,,,MEMBRO,true
