orgao,categoria,campo,item,categoria_dj,incide_teto_segundo_cnj,incide_teto_segundo_dj
TJRJ,Direitos eventuais,Detalhe,REPR.Lei 5535/09 VI e VII,DECIDIR,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,13º ABONO EC 41/03",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,13º ABONO EC 41/03,13º/SUBSTITUIÇÃO",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,13º ABONO EC 41/03,13º/SUBSTITUIÇÃO,Ind Pla ResTJOE12/2015Ant",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,13º ABONO EC 41/03,Ind Pla ResTJOE12/2015Ant",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,13º ABONO EC 41/03,PECUNIA LICENCA EXER.ANT.",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,13º ABONO EC 41/03,PECUNIA LICENCA EXER.ANT.,Ind Pla ResTJOE12/2015Ant",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,13º ABONO EC 41/03,PECUNIA LICENÇA VIGENTE",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,13º/SUBSTITUIÇÃO",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,13º/SUBSTITUIÇÃO,Ind Pla ResTJOE12/2015Ant",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,13º/SUBSTITUIÇÃO,PECUNIA LICENCA EXER.ANT.",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,13º/SUBSTITUIÇÃO,PECUNIA LICENÇA VIGENTE",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,DEVOL.DE FERIAS",Opaco,NA,NA
TJRJ,Direitos eventuais,Detalhe,"REPR.Lei 5535/09 VI e VII,Ind Pla ResTJOE12/2015Ant",Opaco,NA,NA
